种类,TF-IDF,关键词
科技,0.5498533238992449,misfit
娱乐,0.5109334738913431,菲利普斯
汽车,0.5452630184181111,硬顶
科技,0.49012785181336815,square
科技,0.6530282272681388,三星电子
汽车,0.395311977326618,fca
房产,0.4471788926072398,环比
娱乐,0.4094683174378159,国民党
体育,0.6107967856857566,梅扬
其他,0.3295525434056788,李朝龙
房产,0.3682513082698809,地铁
科技,0.48838877409543674,摩托罗拉
财经,0.2532300000278744,欧元区
财经,0.53196951571248,镇江
汽车,0.4898089360573065,gti
房产,0.7657866107362912,奥园
娱乐,0.7359741612613552,戴佩妮
财经,0.33812623404698855,中暑
体育,0.6882874623987503,奥卡福
房产,0.26034232445106187,商业
娱乐,0.2021905770715738,钟蒙修
体育,0.4377704973747198,穆勒
其他,0.40339503097356466,['林志颖']
财经,0.486951131589456,京剧
科技,0.5165055557033387,自拍
娱乐,0.5187386585992303,韩红
体育,0.38414197986224524,皇马
其他,0.5284070942937255,试点
财经,0.5753958763794783,开幕式
财经,0.668822009685073,树木
其他,0.4479521344055988,朝鲜
体育,0.7526656017971718,詹姆斯
房产,0.42589276329868003,开发商
其他,0.2707913062305742,读者
体育,0.3625446853394482,骑士队
科技,0.568480417748533,恒大
科技,0.6429378914704561,联想
科技,0.5893651226420719,印度
财经,0.3446574518681987,货币政策
财经,0.4434974951553041,城市
其他,0.39736785287167575,彩民
其他,0.3996500733085773,帕玛
娱乐,0.38769352334821544,徐太志
汽车,0.44021770271332517,劳斯莱斯
科技,0.7985181286659336,tizen
汽车,0.4898089360573065,gti
娱乐,0.3304561478457296,cinderella
体育,0.5963993148246619,瓦尔迪
其他,0.4391294154031222,新江
科技,0.6884752210672814,洗车
汽车,0.38917846412207824,卡宴
娱乐,0.3846327617832803,王菲
体育,0.619028448547615,火箭
财经,0.36313360779561255,上涨
其他,0.4581935699455867,办公用房
其他,0.4618813903471023,卸除
娱乐,0.6721040424260807,辣妈
汽车,0.4232994298208393,福特
房产,0.6369320394232303,大冲
娱乐,0.44773610351234355,指挥
房产,0.3996413016868392,广州
财经,0.43310350582624146,新股
汽车,0.3983916511770689,lmc
科技,0.7774768468197988,xbox
财经,0.41602669017370064,一方
科技,0.7247192889800727,电竞
财经,0.40233692054389547,足金
其他,0.49834802828118513,hebe
房产,0.40216403858871835,地下
财经,0.3668367963289714,英国
其他,0.3191927270325078,劳动
娱乐,0.4791673962175485,白蛇传
房产,0.4668801144744074,不良贷款
房产,0.4140003877600524,永福
体育,0.46351919505428646,恩里克
财经,0.4555212287573702,独岛
房产,0.5083125415138134,海心沙
体育,0.48474830058932944,开拓者
娱乐,0.4155060304270351,['减肥']
财经,0.3230319663031626,开发
财经,0.4210696468090799,卖空
其他,0.4555263251219834,黄飚
汽车,0.6559811706157034,东风
娱乐,0.7577439974176305,吕薇
房产,0.4944610555768388,秦虹
汽车,0.28574923000782626,汽车
财经,0.7675161090676903,作文
汽车,0.2740035307430735,a60
房产,0.29640676319017906,租房
娱乐,0.5049295993500694,韩雷
娱乐,0.34804535690005295,小考
汽车,0.37530345002356347,自吸
其他,0.5014428628824703,雪人
娱乐,0.5254685210563355,杨舒婷
房产,0.4343063369798178,港澳
汽车,0.36709893743752564,1px
科技,0.4003113958439142,奇酷
科技,0.35278582037407225,许昆林
娱乐,0.6171345695293026,金桢
其他,0.48699528575316603,账簿
科技,0.6096614692217235,李世鹏
体育,0.7202062558134136,冰球
娱乐,0.47621129619779035,克鲁兹
其他,0.5202362120227741,调查
其他,0.7948221405455815,华文
娱乐,0.6501742668964102,尚天瞳
房产,0.29585006757861493,恒大御湖
汽车,0.32210845873131444,ashton
科技,0.8230473492551431,zenefits
汽车,0.35948320745017004,雅阁
科技,0.4748196449248169,万里
体育,0.3854417360583768,火箭
其他,0.43672167573810194,号线
体育,0.6807743782351496,奥卡福
汽车,0.7253337296144491,暖气
娱乐,0.2778316882516257,顺应
体育,0.40985473314813947,泽勒
娱乐,0.33145800377149276,预告片
汽车,0.7253337296144491,暖气
科技,0.6832776025154574,gopro
汽车,0.5259859779978076,glc
其他,0.431980707456712,屋面
体育,0.5485742374889178,金球奖
其他,0.45369879718864886,东城区
娱乐,0.566059570034622,周秀娜
体育,0.5267591325092906,巴萨
科技,0.5923158134233372,iphone
科技,0.5114924095897533,pro
汽车,0.6184446356655302,后视镜
房产,0.5372349573475825,香洲区
娱乐,0.6238051383037861,桐柏
其他,0.30661311603760083,['警视厅']
科技,0.6164662637658448,storyful
汽车,0.5657580162623663,头枕
房产,0.5735901464094535,电梯
娱乐,0.7045381842897596,胡兵
其他,0.360917806874724,女性
其他,0.51971256534946,祖师
娱乐,0.5176337026484109,苏永康
科技,0.5381471339839046,金融
娱乐,0.3345628777321276,['分霆锋']
汽车,0.4841226521309204,srx
汽车,0.44045693000173763,x5
财经,0.4925249348637238,沉默
汽车,0.3246131814423017,磨合
娱乐,0.5767285809503269,山羊皮
房产,0.6010941406192556,农民工
财经,0.25882947987420696,医药
娱乐,0.6891141615404779,23323
体育,0.5102521636252835,雄狮
房产,0.583430859305611,连廊
房产,0.5198056648896311,白云
娱乐,0.4922573768062344,温雪
汽车,0.4395698370825945,黑剑
其他,0.5362732746285891,盐商
财经,0.5425443225399172,楼道
房产,0.7580642274413003,别墅
娱乐,0.5831719982459044,权相宇
其他,0.47321724300240847,国美
财经,0.2532032517614458,鲁迅
财经,0.6174997514727169,sab
体育,0.47972670895653396,桑德罗
房产,0.549234225151445,洋房
其他,0.3505510505035138,万亿元
科技,0.3497882173749491,滴滴
房产,0.36096136695273723,二手
房产,0.4206806799194583,环评
娱乐,0.49097989095343125,剧院
科技,0.49784523835502037,专利
汽车,0.4680035463350442,乘用车
财经,0.5079597627054876,评级
其他,0.6002335605631206,休息室
财经,0.2617218889151513,本周
体育,0.6173726796819281,巴尔
娱乐,0.743192176788287,林青霞
汽车,0.27163848573951915,宝马
科技,0.5672439271734739,万美元
房产,0.3281748946610522,成交
汽车,0.41941634229095204,大众
娱乐,0.3923264255473897,雾都
其他,0.5316935436101582,['欧塞尔']
汽车,0.7764571443376432,轮胎
娱乐,0.7898126402654134,韩雪
其他,0.3916468333829196,诺贝尔
其他,0.44956680348374095,水库
体育,0.6451672668618357,孙可
娱乐,0.6107563920716125,林俊杰
汽车,0.5573194980160706,领航员
科技,0.47882314047120395,pencil
财经,0.3728238293250636,万千瓦
科技,0.6421999430573067,p1s
其他,0.5211319433937743,德甲
财经,0.6024076646558123,罗姆尼
体育,0.49198192225990034,新疆
其他,0.5846931264623209,菜心
科技,0.5736105699156406,科幻小说
财经,0.44209023883686777,指数
科技,0.6722656554069764,vertu
财经,0.6209294977343881,邓前
其他,0.43698752807335406,乌苏市
体育,0.8088674096871354,火箭
娱乐,0.5329736548492437,宋祖英
科技,0.8772066164965155,代驾
房产,0.4700031750643139,炒房团
体育,0.6893171815023906,沃尔
其他,0.6572267770270875,街坊
财经,0.5359677365947428,机器人
房产,0.37190974460398923,十二
体育,0.6052429775287589,奇才队
财经,0.5435556712765265,贝宁
财经,0.4948566516311604,匹克
其他,0.43648683612520717,转账
体育,0.5426137958445465,钦科
娱乐,0.6131294600283419,林峰
汽车,0.6060003785397693,澳门
财经,0.32505376463638186,欧元区
娱乐,0.39907325541442756,王菲
房产,0.28036456350798633,每公斤
科技,0.46423440518385795,苹果
房产,0.7629576281962591,信托
财经,0.43122165443294846,银价
科技,0.5919803136669314,uber
汽车,0.44214517225411104,macan
娱乐,0.4060514905661254,李雪健
其他,0.5134394063626287,精神科
体育,0.5434389614178684,骑士
娱乐,0.6435521081969643,李小冉
房产,0.403349893604365,商品住宅
汽车,0.5235992167159145,零整
科技,0.720618072082951,三星
其他,0.37718618762189693,高明
体育,0.4911798076233031,兰多夫
娱乐,0.4740793319368567,阎惜
房产,0.4632776122439233,房地产
汽车,0.3388434681225778,车辆
科技,0.7886768308609436,徐翔
房产,0.6243883317718647,别墅
科技,0.5482566601398372,misfit
汽车,0.5950071738116144,停车
娱乐,0.4498617270794255,编剧
财经,0.4066684819944979,中银
科技,0.38885766322881143,盲人
其他,0.21228523238742364,维权
体育,0.3324844176993187,失误
汽车,0.7842041999455028,恩斯
其他,0.27319167085897483,商场
科技,0.4194472626435247,自拍
房产,0.36238932430489024,越秀
房产,0.34190333151835406,保留
体育,0.504434684658424,戴维斯杯
财经,0.6599255728216096,食品
其他,0.4000582194767783,剑桥郡
体育,0.4064450687578277,开出
娱乐,0.29475714089938393,['潘虹']
房产,0.46524180227576545,佛山
其他,0.39595438225834234,现场
其他,0.4298768254149494,黄蜂
体育,0.35633597884154455,马塞洛
娱乐,0.5553976487747004,slash
房产,0.41707735660576406,潘石屹
科技,0.8897052267548101,机器人
房产,0.4148993732399413,房管局
体育,0.41919634676844864,本期
财经,0.3456568763216329,偶然
体育,0.5838242265466436,羽林决
其他,0.5256395117569389,百里
科技,0.6300674788902538,电信
财经,0.562486837749339,助手
汽车,0.30378776954370823,艾瑞泽
体育,0.5156843776617568,卢安
科技,0.3925617287802106,京东
汽车,0.44616513261364027,f20
房产,0.5737545106521899,广州
娱乐,0.4827087733918675,闫妮
体育,0.594508653466175,库里
其他,0.33273203876388324,哺乳
其他,0.8162737396973678,野山参
汽车,0.49240585134821696,5008
科技,0.4387757691876632,广告
其他,0.31899104055377847,彭年
汽车,0.4611402902577476,1290
科技,0.5366113568881987,快递
科技,0.5102682044650326,光线
汽车,0.540269871697393,cs15
体育,0.5157686028039115,科比
房产,0.4960988141325456,用地
娱乐,0.37058025874072403,结婚
体育,0.29739156783598447,天津队
其他,0.31145886929599087,义诊
房产,0.543492189260842,土地
娱乐,0.4325961806338838,大海
汽车,0.45954621935726037,cs75
汽车,0.6576701541159289,御马
体育,0.40510939137570307,打入
娱乐,0.43427289946226444,方力申
科技,0.6446591974726472,专车
房产,0.40347865912831904,前海
娱乐,0.5946639823435625,梁柏坚
体育,0.6773978081251312,德隆
其他,0.4219419544608039,俱精
财经,0.41809417054120435,美元
财经,0.2606292362618957,货币
体育,0.5321348609857419,考辛斯
房产,0.335469238854756,选房
财经,0.8986038415229042,包公
汽车,0.3363180331112811,奥古斯塔
体育,0.5486589068880231,巴斯
房产,0.3174560281466674,业主
房产,0.3036223771235427,成交
娱乐,0.42140355019086,公主
体育,0.3771374809287626,湖人
其他,0.48366621480186583,吸烟
娱乐,0.34210317466316875,歌迷
财经,0.5479326716623267,萨利赫
房产,0.718670928163983,土耳其
体育,0.581088362746254,鲁能
财经,0.3429046350776973,['库夫']
财经,0.3285826651067622,茶厂
体育,0.49575583763305453,梅西
其他,0.3287160849535751,北六环
房产,0.5384487515420694,房产税
娱乐,0.43377786495851817,杨幂
体育,0.4539182256029525,选手
财经,0.4663583399647157,连科
体育,0.6302036791068943,伊万诺维奇
其他,0.5703752335097151,养老
房产,0.4678457865610928,住房
娱乐,0.71706911002081,吴佩慈
房产,0.3382808779516037,围蔽
体育,0.5650373840680426,桑兰
财经,0.33001987362785795,开合
汽车,0.40594031812003234,凯迪拉克
娱乐,0.3292819675816291,花儿
体育,0.4830518000278895,桑德罗
财经,0.5867206185867415,电梯
汽车,0.46131624523266324,apps
娱乐,0.29498089165191793,哈利波
房产,0.4060111457471286,成交
汽车,0.5107475966954796,二手车
科技,0.7911968086126038,网易
汽车,0.4284211181431895,日产
其他,0.4547122863339408,['亚纳']
体育,0.42146442498157194,冰雪
其他,0.483593809578834,养老
房产,0.4817974154232151,勘察
娱乐,0.2685680825766221,原著
汽车,0.3843445132629319,gti
科技,0.3764603927235113,专车
体育,0.30754938900233664,张呈栋
其他,0.6738835142491196,金币
房产,0.5448491140009021,前海
娱乐,0.3414964835786761,丹妮
汽车,0.6745649898633306,kadjar
科技,0.819542269667224,搜狗
娱乐,0.39935102275049056,林雨
科技,0.570934167476538,游戏
汽车,0.37379123775736695,燃料电池
其他,0.30488254535649517,协会
汽车,0.5480195028468803,a60
娱乐,0.6712068007788019,付梦妮
体育,0.48547469051233055,一方
体育,0.6416081242375958,摩纳哥
科技,0.4908151222092389,scanadu
其他,0.4138964155332947,被告人
娱乐,0.4588683345569145,王艺洁
房产,0.30668193166053526,户型
其他,0.29918636563857987,反腐
体育,0.2062121991287657,英超
财经,0.5931359778057718,小华
体育,0.4057684364355333,桑切斯
房产,0.4853450056147083,成交
财经,0.48874715139246067,贝尔
体育,0.45048158968840285,羽超
房产,0.4936164222449532,受访者
娱乐,0.46828477704221866,国色天香
房产,0.2829801299891246,平方米
其他,0.5779976758844414,公寓
体育,0.5374248558217812,吉祥
房产,0.7046194083078052,西乡
房产,0.4739354342627911,房子
其他,0.5308394773381374,黑恶
财经,0.6910176199342539,挪威队
科技,0.580296924173344,互娱
体育,0.603813102256886,奥尼尔
科技,0.4015125332129566,悟空
科技,0.7864153642664607,高通
其他,0.18459675934986253,办事
科技,0.4436939171618886,京东
汽车,0.4994168455125584,大众
娱乐,0.5168346634201789,菊子
房产,0.4958390838280497,调控
其他,0.45247312298758224,王军
体育,0.3629688006869172,刘炜
娱乐,0.5674219313937913,selina
汽车,0.3020958242057172,八速
科技,0.6551036807919048,iphone
娱乐,0.5894311518642403,宣萱
汽车,0.4361447957156293,交管部门
科技,0.45849910718500636,联想
科技,0.7296408282100769,索尼
其他,0.4874429417989345,芳草地
汽车,0.2896281301821816,绕道
娱乐,0.35235869334651043,赵妻
房产,0.44903405598931084,君堂
其他,0.42932786312952176,天花板
体育,0.4505432227981734,中国足协
房产,0.5523124399023392,刘翔
其他,0.7122981702332036,红专
财经,0.35778290352054687,个股
科技,0.6210446743148038,sello
财经,0.2576886481947566,美元
娱乐,0.5442299037073735,刘雪华
房产,0.35879363372350387,星河
汽车,0.6915331324548634,普拉多
财经,0.4682411905010605,减除
体育,0.4490191817453187,新疆
房产,0.4779291191875865,住房
娱乐,0.3911896918907951,哈利波
其他,0.36710367557228835,美和居
体育,0.6722455269793265,科比
财经,0.36356278784579765,残疾人
娱乐,0.5872680206601631,音乐剧
其他,0.5242872303629326,邵雷
体育,0.7613743633914071,古力
财经,0.7485358064853866,王振义
财经,0.6771220801260779,菅直
体育,0.674178403298129,弗鲁姆
房产,0.6772025060618049,三山
其他,0.5229280539678463,三九天
科技,0.764665182202353,小米
体育,0.6923317404390987,女排
财经,0.3256797178651912,茶厂
科技,0.4461985823017144,网络
财经,0.5984016689653201,白癜风
汽车,0.43186682213146455,标致
财经,0.5157017858405666,航母
其他,0.3271028133761697,进口关税
房产,0.4980027024018649,垃圾
其他,0.5090191504108451,积分
娱乐,0.7011537585199284,金桢
汽车,0.8659935622351584,机油
科技,0.47703593502116753,估值
汽车,0.39377718651722443,自动
娱乐,0.35422580098821593,时不时
其他,0.651631209201478,种质
体育,0.4411378345275514,杜兰特
科技,0.6865200723357797,洗车
汽车,0.3919626198112054,gs
娱乐,0.7118838491474547,张敬轩
其他,0.4761475175843454,门锁
体育,0.3891863655571244,米兰
其他,0.5166985922031733,珠宝
娱乐,0.4037355389529503,音乐节
汽车,0.6049930976634684,panamera
汽车,0.3598962602252286,4000
房产,0.45016261265674384,号线
科技,0.4381253016451557,iphone
娱乐,0.5849396681390162,陈道明
财经,0.41907750234519386,佛罗里达州
科技,0.4316660844527212,小伙伴
科技,0.7517459274881866,精子
财经,0.5275805761088016,快递
其他,0.6385975110310866,扶贫
房产,0.566064010509635,御湖
财经,0.4193241935578226,流浪
其他,0.4202207290714001,丽江
房产,0.4965917069285296,秦虹
娱乐,0.3775744612075259,断箭
房产,0.5037856716846301,房子
体育,0.579975092968322,雷霆
财经,0.31260235491527033,开发
房产,0.49066160570643363,裂缝
体育,0.6787325304363198,北京队
财经,0.5579327610754639,农产品
财经,0.36197188909070804,安妮
其他,0.4962065831204617,亚冠
房产,0.3360669233755822,城中村
娱乐,0.39413765130029055,警察
汽车,0.4763331450445207,高尔夫
房产,0.4119018467927868,香洲
娱乐,0.4558454258934383,陆萌
财经,0.35263704312882016,查韦斯
体育,0.4000062351843291,圣保利
娱乐,0.3729334944963107,20
科技,0.5055436634679785,优步
汽车,0.37322119076809984,v60
其他,0.28223302173015974,['三怪']
房产,0.42428955700979276,房产税
娱乐,0.3846327617832803,王菲
汽车,0.42322699052305224,谷歌
科技,0.38934088104948117,排名第
科技,0.4208024712113871,玻璃
娱乐,0.30820277605892266,专辑
其他,0.5095072613958322,到家
科技,0.45587028171713184,农民
娱乐,0.4194132670736542,小野丽莎
其他,0.5225626904540713,北控
其他,0.46360472157035815,朴信惠
房产,0.5383530382632412,存款
娱乐,0.7045381842897596,胡兵
汽车,0.29725765617878475,新智
科技,0.6906027207501947,搜狗
其他,0.40731825333781024,股份
汽车,0.39418568402094,风光
科技,0.45527305340199314,融资
体育,0.48207833606628947,特鲁姆
体育,0.26285146730181935,汤普森
娱乐,0.4778082878740355,王伟光
汽车,0.3637525141310508,凯美瑞
财经,0.31275676699852634,货币政策
汽车,0.5934989696742092,热车
娱乐,0.7423446471226257,张杰
体育,0.5870881783277649,科比
汽车,0.48374068289625716,otv
财经,0.47555968989163816,鞭炮
汽车,0.368536878133652,阿特
汽车,0.5080688210439266,x25
其他,0.5198057882714006,纯债
体育,0.6836392742706454,足球
科技,0.6875943530955071,cortana
其他,0.5459789595927589,刘某
娱乐,0.602844389509937,万玛措
科技,0.3320727988425007,第三季度
科技,0.5448177564005702,断舍
汽车,0.6101210225371679,rx
娱乐,0.8528850667009353,余文乐
房产,0.47899261802329174,总部
其他,0.33817314554277617,圣贝
科技,0.6982698822930812,百姓网
汽车,0.626362772542346,捷豹
娱乐,0.49133353478566666,郭家
房产,0.41307339088886347,调控
其他,0.39073804686062164,李先生
其他,0.5537654712068255,基金
娱乐,0.6528794226163349,姚芊羽
科技,0.4978295630178952,三星
娱乐,0.31032850816403756,刘嘉玲
体育,0.6640600321822082,打入
汽车,0.5627950564752485,舒适型
科技,0.4443698186795064,手机
房产,0.41880605995207537,改造
汽车,0.33504145085808323,sr7
财经,0.5630674481613128,外汇储备
娱乐,0.4158363667569743,张柏芝
财经,0.32773915392132624,开发
体育,0.5305183963760928,每场
房产,0.43848143077492263,搬运
娱乐,0.3497115429919141,李宗翰
房产,0.6014477558806753,金沙
其他,0.5499348123814329,故宫
财经,0.3032699369920183,公司
娱乐,0.45737130997885583,吴尊
房产,0.426251545281556,事故
其他,0.45008493410657646,难民
财经,0.20915442830564138,股市
财经,0.40428632086443783,奶牛
体育,0.4259169375631946,围棋
房产,0.4207608848765594,越秀
财经,0.34747860744876685,下跌
科技,0.6073016075141418,合一
科技,0.44011711514773943,冯幸
房产,0.37447933701593467,写字楼
其他,0.6195161998267675,百里
房产,0.4916627748779191,岭南
汽车,0.4182272052771321,辉腾
娱乐,0.6335458023224851,rain
科技,0.4543446743453204,微软
体育,0.322135022664959,利物浦
其他,0.5106045480961432,理赔
娱乐,0.3165096329371657,陈庭欣
汽车,0.3919626198112054,gs
科技,0.7388516820618494,宕机
汽车,0.5711976120588339,rs3
娱乐,0.754188803329237,00
其他,0.3033483411131591,乘客
汽车,0.59894309573778,机器人
娱乐,0.3240659498690951,郭家铭
其他,0.36238066077601033,辛柏青
体育,0.32798788057775763,韦少
其他,0.4469287682406463,黄晓明
娱乐,0.2869182017337997,['多雷']
汽车,0.27167372687282154,车企
科技,0.38777934082038745,充电
财经,0.39613283118646886,报纸
汽车,0.2657408420242128,都市
财经,0.23847752602538194,['冷饮']
科技,0.6399130604461747,苹果
房产,0.6116860380206525,平米
其他,0.49698864902275663,青蒿素
其他,0.4903598471341522,养肾
财经,0.2858057777544658,亿元
体育,0.39647484290992546,花岛
科技,0.3132231320081546,ios
财经,0.43154928840220996,病人
体育,0.49486841486631505,射手座
其他,0.4628306983632564,杨某
娱乐,0.4331962670396088,学生
房产,0.5141653797868339,购房人
体育,0.5047578310346614,皇马
财经,0.3535759319156332,亿元
房产,0.3535105833459067,陈小姐
体育,0.6007487600243785,科比
财经,0.4588749802512125,减除
财经,0.2791162990192264,屏幕
体育,0.5201658894769597,巴萨
其他,0.6051408708327202,电商
娱乐,0.3818667698445196,哈利波
娱乐,0.39729262453718284,张峻宁
财经,0.6939029584559728,王勇平
汽车,0.6385066672884631,greiz
房产,0.5149110085488805,梁先生
其他,0.5233343052132295,道胜
房产,0.7177506374821988,姚明
科技,0.8045432825837265,solu
财经,0.2806274716439564,['丹麦克朗']
科技,0.6678468381706155,oled
汽车,0.41867610927313714,被告
娱乐,0.5085633284500778,柳岩
体育,0.665917617531659,赛斯
其他,0.4188625845528259,中介费
房产,0.4336264191616795,标的
娱乐,0.34817441484634953,刘庭羽
汽车,0.7106363654377454,充电
其他,0.7445760735471604,逆袭
科技,0.3839699089184459,商家
体育,0.5091310564945721,奥登
其他,0.6149403937266416,远洋
房产,0.3890568257438144,四大行
娱乐,0.5435100766749682,郭敬明
汽车,0.5479746641112496,福特
科技,0.7405509753337833,新浪
科技,0.3405332939698818,图像
汽车,0.59558631225096,cx
娱乐,0.5573603413191813,宋祖英
科技,0.6702322384091585,无人机
体育,0.5972515895837162,巴萨
其他,0.2553005535026283,太行山区
科技,0.502951660983361,faraday
其他,0.48825607646407315,兰州
房产,0.7216362744703813,车位
科技,0.49468081828742433,携程
财经,0.3819277411449367,水域
房产,0.4371497785375135,房价
体育,0.5055725969017637,开奖
财经,0.43710918429687545,开工
房产,0.32124469052861665,收费站
体育,0.5793164871228189,祖力
其他,0.4669884885239588,红专
房产,0.3246284535422201,收窄
娱乐,0.5049738583938839,赫夫纳
体育,0.7201670502336226,男篮
其他,0.4603990776690688,['刘虹']
房产,0.45070640377391696,rbd
娱乐,0.5937247970126106,王麟
房产,0.38564633794921166,经适
体育,0.4980624165522371,阿隆索
财经,0.5453847264033989,酸蓄电池
科技,0.40700748790252234,['宣通']
体育,0.6432393819900031,鲁尼
其他,0.5069166041234675,老人
汽车,0.45185331902495507,新瑞虎
体育,0.7392500228604693,格雷罗
娱乐,0.4250524741223847,水浒传
娱乐,0.5177783330590259,徐静蕾
科技,0.6048560829312084,空间站
汽车,0.5739869014227931,rdx
娱乐,0.7270251293533092,井柏然
房产,0.4469864598227729,地块
其他,0.5683948569741104,总统
体育,0.531762877070386,助攻
其他,0.4228864763347751,饼干
汽车,0.4846410944692119,国产
科技,0.5559584368976171,巨人
其他,0.5992529163814924,难民
汽车,0.6258991000582614,faraday
科技,0.675845155151085,30849
科技,0.6382200764981908,虚拟现实
汽车,0.5184854865100263,车神
娱乐,0.5454700343802729,许颖
房产,0.3954749313966705,秦虹
其他,0.6123080918798456,美因茨
体育,0.6476303431994265,哈登
娱乐,0.523474991711149,俊杰
汽车,0.42112501967161137,销量
财经,0.81243025137492,基金
汽车,0.33580740817720967,风光
房产,0.3809913658309812,花都
汽车,0.5138393108327596,s60l
体育,0.3069007874041826,舜天
娱乐,0.5421322058463923,唱区
娱乐,0.7300170580830594,释小龙
房产,0.45781649006134795,勘察
其他,0.6359512024690583,王女士
体育,0.5554193088017053,哈尔
财经,0.5556396141112403,张爱玲
体育,0.5174169931455329,奥卡福
财经,0.6731762426825396,奖牌
体育,0.3984591342329984,球员
房产,0.4934223873527486,城墙
财经,0.43992692489623686,英国首相
体育,0.5982525772322059,考辛斯
房产,0.4983861425602651,选房
娱乐,0.6694033757102279,杨幂
房产,0.2715510764843324,租房
其他,0.49550304673807527,苏炳添
体育,0.2763574527873918,乌斯
财经,0.4043683053234398,西城区
娱乐,0.2838845714001897,博纳
财经,0.3704740889260821,板块
汽车,0.32761469490296485,bentayga
汽车,0.30161441413331974,['一响']
房产,0.3556565197729183,房地产
汽车,0.508063825733007,s350
娱乐,0.33513889418341447,儿子
体育,0.48151124643479193,本期
体育,0.4045626490832883,克洛普
财经,0.3183542810042696,升幅
房产,0.38733864877317936,一只
娱乐,0.3427359916685574,王挺
体育,0.1707055641993171,['巴卡']
其他,0.4120848920879639,李喜
体育,0.5688040620596887,波尔图
房产,0.43870863999972737,改造
财经,0.5808712304225291,灌气
体育,0.5539284333948256,北京队
房产,0.36594253923221604,监管
财经,0.30372983880608306,单位
财经,0.48850296003652943,乌克兰
房产,0.30435882471250325,大酒店
娱乐,0.7151786341946623,贾静雯
体育,0.48684720370736284,登贝莱
其他,0.47972307270067216,换乘
科技,0.6342495810955997,行星
体育,0.5436060983950822,班古拉
其他,0.35057773200879105,房东
汽车,0.357180398663601,v10
娱乐,0.5058051698027718,票房
体育,0.5726771344346934,睡眠
房产,0.3722013940836705,房价
娱乐,0.6554955702257952,蓝精灵
体育,0.3279267473393193,终极
其他,0.6053191303588452,卫生城市
科技,0.43393831272248157,ipad
娱乐,0.5420213049739914,特效
汽车,0.3110967859138089,开发者
汽车,0.610184411471719,电池
科技,0.8285975071076405,电动汽车
其他,0.49458621216989423,党组织
汽车,0.5347733405375482,无人驾驶
科技,0.594544075879812,gazelle
其他,0.3533640890088312,妇女
房产,0.5193640758448519,保障
娱乐,0.29165193972000075,['潘越云']
体育,0.32158054353365295,贝塔
